customer_id,age,annual_income,employment_years,home_ownership,loan_amount,term_months,interest_rate,dti,credit_score,num_open_accounts,delinquencies_2y,inquiries_6m,purpose,state,default
24,57,39969,27,OWN,15731,60,12.22,0.444,724,13,2,0,credit_card,MI,1
25,23,34413,3,OWN,8728,60,10.29,0.354,734,1,2,1,other,NY,0
26,45,91118,16,MORTGAGE,21637,36,6.17,0.173,696,7,0,2,small_business,TX,0
27,50,42622,9,OWN,11497,36,9.77,0.172,682,13,0,3,small_business,NJ,1
28,19,36096,0,OWN,4150,60,6.04,0.124,706,14,0,0,home_improvement,MO,0
29,62,18123,39,MORTGAGE,4335,36,9.95,0.145,644,9,0,0,credit_card,GA,0
30,69,25112,38,RENT,4653,36,8.12,0.227,793,6,0,0,credit_card,PA,0
31,58,44317,31,MORTGAGE,6956,36,7.9,0.075,732,2,0,1,credit_card,MA,0
32,51,56975,22,RENT,3728,36,3.91,0.036,704,7,3,2,small_business,OH,0
33,74,20341,22,RENT,6791,60,10.52,0.237,713,10,0,1,debt_consolidation,AZ,1
34,40,49222,6,RENT,20759,60,12.52,0.306,699,9,1,0,debt_consolidation,MO,1
35,42,58486,18,MORTGAGE,26328,36,6.56,0.395,624,11,0,1,small_business,NY,1
36,38,38513,11,MORTGAGE,15086,36,12.38,0.232,692,11,1,0,credit_card,FL,1
37,44,50984,6,MORTGAGE,8949,36,7.66,0.18,673,7,0,1,home_improvement,MI,1
38,55,100348,28,MORTGAGE,9814,60,6.94,0.086,610,8,0,1,car,IN,0
39,46,34046,15,RENT,11485,36,9.81,0.347,687,0,0,1,debt_consolidation,MA,0
40,38,21194,13,MORTGAGE,11960,60,12.21,0.531,632,6,0,2,car,WI,1
41,53,40943,7,MORTGAGE,10392,36,7.7,0.33,758,4,1,2,other,WI,1
42,47,31806,18,OTHER,4229,36,7.82,0.089,714,4,0,2,car,NC,0
43,21,48263,1,OWN,15069,36,12.46,0.166,656,9,2,0,credit_card,TX,0
44,39,70090,11,RENT,24585,36,6.99,0.301,747,10,0,1,debt_consolidation,FL,1
45,38,77180,12,MORTGAGE,15312,36,7.74,0.184,708,12,0,0,debt_consolidation,IL,0
46,21,58076,1,MORTGAGE,14315,36,9.54,0.151,662,4,1,1,debt_consolidation,NC,0
47,19,99727,0,MORTGAGE,9459,60,7.72,0.049,731,7,0,2,home_improvement,NJ,0
48,32,59254,10,MORTGAGE,19915,36,10.52,0.27,651,5,0,1,other,OH,1
49,32,82647,4,OWN,34137,60,9.32,0.447,658,9,3,0,debt_consolidation,GA,1
50,66,58915,40,OWN,22269,36,9.61,0.405,658,17,0,2,home_improvement,MO,1
51,69,56712,40,MORTGAGE,11958,36,9.0,0.284,611,2,1,2,credit_card,TN,1
52,65,38340,15,MORTGAGE,2668,60,5.12,0.078,700,7,0,2,home_improvement,MA,0
53,45,49456,18,MORTGAGE,12221,60,6.98,0.21,779,11,0,1,home_improvement,CA,0
54,56,37046,18,RENT,7719,60,5.59,0.207,673,15,0,0,other,PA,1
55,56,42571,31,RENT,12342,36,6.76,0.369,598,10,2,0,credit_card,PA,1
56,45,51203,15,MORTGAGE,6956,36,6.29,0.081,707,6,0,0,debt_consolidation,CA,0
57,42,87962,13,MORTGAGE,30954,36,10.91,0.22,785,9,0,2,credit_card,NJ,0
58,74,43429,37,MORTGAGE,5378,36,3.78,0.116,712,14,0,1,other,TN,0
59,44,67348,6,MORTGAGE,18407,60,13.11,0.297,688,4,0,2,debt_consolidation,IN,1
60,66,26569,22,MORTGAGE,13687,60,11.83,0.299,644,9,0,2,debt_consolidation,NC,1
61,41,42735,6,RENT,20663,36,11.29,0.406,673,11,2,1,credit_card,NJ,1
62,32,93387,3,MORTGAGE,5295,36,3.0,0.096,690,0,0,0,small_business,GA,0
63,67,58673,15,MORTGAGE,16374,36,7.45,0.269,645,7,0,2,small_business,WI,1
64,50,19893,28,OWN,1301,60,3.0,0.01,715,10,0,0,small_business,GA,0
65,51,48589,18,RENT,15760,36,11.9,0.254,673,11,0,0,credit_card,NY,1
66,73,43618,33,RENT,9104,36,8.2,0.181,627,10,2,0,small_business,PA,1
67,23,27248,3,RENT,10252,36,12.1,0.349,706,8,0,2,debt_consolidation,NC,1
68,63,20469,9,MORTGAGE,6212,36,11.81,0.217,681,9,0,0,debt_consolidation,MA,0
69,30,30636,8,RENT,15453,36,12.98,0.568,680,7,0,0,other,MD,1
70,39,28898,16,OWN,6049,60,9.4,0.172,728,5,0,0,debt_consolidation,MI,0
71,66,70484,22,MORTGAGE,9024,60,8.4,0.066,634,10,0,0,debt_consolidation,FL,1
72,45,65852,19,OWN,26340,36,14.6,0.429,684,5,0,0,credit_card,NC,1
73,28,67940,4,RENT,23349,36,11.29,0.281,728,2,0,1,home_improvement,IL,0
74,48,84684,12,OWN,4971,36,7.26,0.13,619,4,0,2,car,NC,0
75,62,16585,18,OWN,4177,36,10.63,0.307,676,6,0,0,small_business,NY,1
76,70,42978,23,MORTGAGE,3955,60,6.64,0.073,707,11,2,3,other,MA,1
77,23,58472,3,OWN,6152,36,7.12,0.111,676,8,0,1,credit_card,IL,0
78,59,35291,32,RENT,9625,60,10.96,0.281,666,18,1,3,credit_card,MD,1
79,63,36037,30,RENT,3822,60,7.14,0.111,653,5,0,0,debt_consolidation,MI,0
80,41,33076,10,RENT,11965,60,10.2,0.29,758,7,1,1,credit_card,WA,0
81,31,53626,11,RENT,13726,36,5.78,0.314,650,0,1,0,car,MI,1
82,44,47919,8,OTHER,23906,60,8.93,0.57,643,15,0,0,home_improvement,MO,1
83,28,91244,8,RENT,17197,60,6.68,0.171,778,7,1,1,home_improvement,OH,0
84,23,60017,3,OWN,4989,60,5.4,0.049,749,6,0,0,debt_consolidation,MA,0
85,32,54851,10,RENT,8032,36,7.39,0.081,680,2,1,0,other,FL,0
86,46,48785,24,MORTGAGE,17878,60,10.83,0.244,651,17,0,0,debt_consolidation,MI,1
87,55,33311,8,OWN,11650,60,11.92,0.351,793,8,3,2,home_improvement,MA,1
88,31,52485,10,RENT,10361,60,10.25,0.213,756,7,1,2,other,NY,0
89,34,74500,9,RENT,19628,60,9.62,0.299,650,6,0,0,credit_card,PA,1
90,23,62466,3,MORTGAGE,30421,36,11.96,0.461,637,6,1,5,debt_consolidation,MD,1
91,46,28986,8,OWN,5848,36,7.02,0.263,683,10,0,2,small_business,CA,1
92,23,23201,3,MORTGAGE,8640,36,7.16,0.27,620,8,2,3,credit_card,NC,1
93,36,70041,14,RENT,15158,36,8.37,0.296,688,10,1,1,small_business,VA,0
94,30,54329,4,MORTGAGE,22843,60,11.57,0.313,649,9,0,1,car,TX,1
95,18,57156,0,OWN,9713,60,6.84,0.156,737,3,2,0,other,WI,1
96,58,32221,29,OWN,3332,60,11.83,0.077,645,9,0,0,credit_card,MO,1
97,19,71763,0,MORTGAGE,23787,36,10.4,0.305,796,7,0,0,credit_card,TX,0
98,28,71086,2,RENT,10407,60,4.15,0.113,746,8,0,0,debt_consolidation,PA,0
99,40,43602,14,OWN,8658,36,7.72,0.202,650,14,2,1,other,MO,0
100,50,66028,16,RENT,5764,36,5.51,0.114,743,3,0,0,home_improvement,CA,0
101,74,31361,20,MORTGAGE,14071,36,11.93,0.401,713,5,0,2,other,IL,1
102,52,47506,14,RENT,18893,60,12.65,0.391,689,6,1,1,credit_card,TN,1
103,36,18211,13,RENT,7706,36,16.88,0.378,731,10,0,0,small_business,IN,1
104,74,42985,14,RENT,11605,36,9.49,0.291,741,10,0,0,home_improvement,MA,0
105,60,169582,24,MORTGAGE,62831,60,12.86,0.252,748,5,0,1,debt_consolidation,TX,0
106,44,70651,13,OTHER,26826,36,9.05,0.262,748,10,0,2,other,IN,0
107,41,117555,11,OWN,50482,60,14.42,0.408,630,10,0,3,debt_consolidation,MI,1
108,62,66607,9,MORTGAGE,20255,36,7.28,0.177,667,1,0,0,credit_card,GA,0
109,20,56331,0,MORTGAGE,11842,36,10.26,0.137,709,6,0,1,debt_consolidation,TN,1
110,20,55924,0,OWN,23572,36,11.14,0.411,712,10,1,0,debt_consolidation,TX,1
111,19,41060,0,MORTGAGE,18112,60,12.94,0.276,710,11,0,0,credit_card,AZ,1
112,55,72299,27,RENT,22017,36,6.74,0.226,744,8,0,1,debt_consolidation,PA,0
113,42,34835,9,RENT,4333,60,5.69,0.125,738,12,0,0,small_business,NJ,0
114,74,51536,22,RENT,10178,60,8.29,0.127,745,5,1,0,car,NJ,0
115,54,257814,20,MORTGAGE,35521,36,7.39,0.201,738,9,0,0,other,OH,0
116,20,64815,1,OWN,13124,36,9.27,0.15,706,16,0,0,home_improvement,FL,0
117,71,39785,28,MORTGAGE,8702,60,5.1,0.211,727,10,0,0,credit_card,IN,0
118,70,86013,15,OWN,28862,36,11.13,0.172,710,10,0,0,credit_card,IN,0
119,32,62725,11,OWN,27206,36,13.15,0.246,789,9,2,1,debt_consolidation,IL,1
120,27,44271,3,MORTGAGE,13444,36,5.88,0.375,656,7,2,2,home_improvement,WA,1
121,25,28921,5,MORTGAGE,4465,60,5.0,0.037,721,3,0,0,debt_consolidation,IN,0
122,57,46529,34,MORTGAGE,3735,60,5.07,0.043,758,6,0,0,debt_consolidation,MI,0
123,22,40478,2,OWN,11866,36,4.78,0.222,756,3,0,0,other,TX,0
124,19,51773,0,RENT,21907,60,10.05,0.375,645,12,1,1,home_improvement,MD,1
125,37,61132,10,MORTGAGE,26394,60,14.66,0.202,748,5,1,2,debt_consolidation,NJ,0
126,21,58313,1,RENT,3184,60,7.67,0.038,704,6,1,0,debt_consolidation,WA,0
127,30,31551,6,MORTGAGE,1311,36,7.56,0.046,709,3,1,1,small_business,TX,0
128,25,65430,1,RENT,13978,36,6.57,0.297,712,12,0,0,credit_card,MI,0
129,69,61838,13,OTHER,17902,36,11.26,0.17,638,4,0,3,car,WA,0
130,70,24143,34,RENT,13769,60,11.8,0.641,654,8,3,0,small_business,MO,1
131,27,59274,2,MORTGAGE,13470,60,6.68,0.274,686,6,2,1,small_business,WI,1
132,63,48193,23,OTHER,20536,60,12.27,0.369,652,2,0,0,credit_card,VA,0
133,23,60706,4,OWN,10505,60,3.28,0.205,712,14,0,0,other,WA,0
134,56,28973,32,OWN,5340,60,7.79,0.142,650,3,2,1,home_improvement,TX,1
135,71,42502,40,RENT,5523,60,6.4,0.119,653,10,0,1,credit_card,NC,0
136,55,44231,22,RENT,5738,36,5.45,0.206,720,6,0,1,debt_consolidation,WA,0
137,31,26800,5,MORTGAGE,6286,60,7.47,0.282,611,8,1,1,credit_card,CA,1
138,35,64302,9,OWN,14960,36,7.21,0.209,660,16,0,1,small_business,GA,1
139,70,42777,32,OWN,7235,60,5.53,0.167,700,5,0,1,other,NC,0
140,48,60340,14,MORTGAGE,21091,36,12.17,0.294,703,5,0,0,car,IN,0
141,21,30029,0,OWN,6873,36,6.8,0.226,654,6,0,0,credit_card,PA,1
142,45,24604,6,RENT,4972,60,5.31,0.117,717,10,0,0,small_business,MD,0
143,47,27747,8,MORTGAGE,9367,36,9.42,0.334,633,2,1,1,credit_card,NC,0
144,73,16601,37,RENT,5752,36,10.47,0.364,637,12,2,0,car,IL,1
145,69,33609,36,MORTGAGE,8023,36,7.97,0.295,714,8,0,0,other,TN,0
146,44,60438,6,RENT,23375,36,9.13,0.337,616,5,0,1,home_improvement,NC,0
147,34,103019,8,OWN,38380,36,11.85,0.249,678,13,1,1,other,NC,1
148,61,89831,16,RENT,6082,36,6.28,0.141,716,5,1,0,credit_card,MO,0
149,70,96788,38,OWN,41357,36,9.66,0.249,715,6,0,0,debt_consolidation,TX,0
150,38,96554,8,RENT,41207,36,11.84,0.319,649,12,0,1,car,IL,1
151,26,148085,6,MORTGAGE,22816,60,8.49,0.118,748,7,0,2,credit_card,IL,0
152,71,55430,18,MORTGAGE,7497,60,3.0,0.156,698,6,0,1,debt_consolidation,WI,0
153,30,81136,3,OWN,26083,36,9.21,0.321,650,0,0,0,other,MO,0
154,67,69996,38,RENT,15821,36,7.57,0.179,679,7,2,1,credit_card,OH,0
155,72,13645,27,MORTGAGE,4405,36,10.06,0.268,633,8,0,1,other,AZ,1
156,75,54670,39,RENT,4905,36,5.61,0.11,724,4,0,0,credit_card,FL,0
157,62,51973,30,MORTGAGE,8123,60,5.6,0.228,675,12,1,0,debt_consolidation,MA,0
158,31,61286,9,OWN,9282,60,7.17,0.205,652,7,0,0,debt_consolidation,NY,1
159,36,38843,12,MORTGAGE,11044,36,8.52,0.226,651,7,0,1,other,NJ,0
160,68,34648,40,RENT,3762,36,4.88,0.077,669,12,0,2,debt_consolidation,TN,0
161,37,38812,5,MORTGAGE,16166,36,10.04,0.284,750,9,1,1,debt_consolidation,MD,1
162,45,73041,13,MORTGAGE,12425,36,6.1,0.181,669,12,1,2,car,OH,1
163,56,63648,9,MORTGAGE,16320,36,8.57,0.319,734,2,0,3,credit_card,MO,1
164,47,106900,8,RENT,1614,60,5.84,0.028,755,8,0,3,debt_consolidation,IN,0
165,67,26397,16,OWN,9761,36,8.95,0.256,647,10,1,1,debt_consolidation,MD,1
166,49,89187,9,RENT,21106,36,9.21,0.223,740,9,1,1,other,TN,0
167,53,132460,13,OWN,51550,60,10.05,0.25,707,10,0,2,credit_card,NC,0
168,23,31571,4,OWN,6317,60,6.26,0.257,730,15,1,1,car,AZ,0
169,55,52180,28,MORTGAGE,12142,36,8.51,0.144,734,7,1,1,debt_consolidation,NJ,0
170,69,22187,27,OWN,8273,60,14.15,0.466,743,6,0,2,credit_card,IN,1
171,43,12012,20,OWN,1000,36,7.7,0.139,695,11,0,2,other,OH,0
172,53,24684,27,MORTGAGE,7918,36,10.17,0.248,664,6,0,0,debt_consolidation,IN,1
173,34,50262,5,RENT,9334,60,10.22,0.19,649,8,0,0,home_improvement,MO,0
174,24,54901,2,MORTGAGE,16815,36,6.64,0.305,670,1,1,1,credit_card,PA,0
175,41,40200,13,OWN,10551,60,11.87,0.328,705,9,0,1,debt_consolidation,MO,1
176,60,68204,31,RENT,14585,60,8.78,0.167,717,15,0,1,debt_consolidation,GA,0
177,36,58773,6,RENT,24664,36,10.29,0.353,714,0,1,0,other,WI,0
178,24,129497,1,OWN,24706,36,7.23,0.141,791,6,0,1,home_improvement,OH,0
179,34,23648,5,OWN,2934,36,6.45,0.15,741,9,0,0,debt_consolidation,WI,0
180,40,31072,19,MORTGAGE,4261,36,8.18,0.166,679,4,3,1,credit_card,NY,0
181,45,36010,11,OWN,15424,60,8.37,0.388,682,13,1,0,car,NJ,1
182,56,34958,7,MORTGAGE,12353,36,12.95,0.391,662,10,1,0,small_business,CA,1
183,24,38205,3,MORTGAGE,11996,60,9.73,0.214,683,7,1,1,home_improvement,NC,1
184,44,166458,11,RENT,31808,60,8.8,0.164,754,4,1,1,home_improvement,AZ,0
185,62,40514,31,RENT,13135,36,10.47,0.192,646,10,0,1,credit_card,MD,1
186,21,68356,1,MORTGAGE,5751,60,6.16,0.141,707,8,2,0,other,OH,0
187,71,23413,16,RENT,4518,36,10.7,0.196,708,6,0,2,small_business,PA,0
188,54,33974,9,MORTGAGE,9415,60,10.56,0.243,696,5,1,2,home_improvement,MO,1
189,47,75855,5,RENT,15190,60,5.32,0.203,695,9,0,2,other,WI,0
190,39,81755,6,OWN,7689,36,5.53,0.092,769,11,0,1,credit_card,MA,0
191,44,21198,9,RENT,6090,36,11.96,0.275,620,6,0,0,small_business,AZ,1
192,40,145017,5,OWN,10553,60,5.97,0.074,757,4,0,1,credit_card,FL,0
193,58,60963,24,OWN,5071,36,7.96,0.113,739,11,0,0,home_improvement,AZ,0
194,27,32852,3,OTHER,3485,36,4.16,0.116,767,2,0,2,credit_card,WI,0
195,59,62455,15,RENT,9310,60,7.59,0.161,697,12,0,0,other,MO,0
196,28,35112,5,MORTGAGE,4885,60,8.01,0.097,711,10,0,0,home_improvement,MA,1
197,72,22995,20,MORTGAGE,1000,36,8.31,0.02,658,5,0,0,credit_card,WI,0
198,75,54024,40,MORTGAGE,6930,60,5.42,0.121,730,14,0,1,home_improvement,IN,0
199,28,75462,3,OWN,30196,60,9.03,0.509,580,3,3,1,credit_card,IL,1
200,53,85650,30,OWN,24245,60,5.4,0.255,694,8,0,2,home_improvement,MI,1
201,66,20554,39,MORTGAGE,3344,36,7.67,0.115,623,5,0,0,debt_consolidation,WA,1
202,52,29788,15,MORTGAGE,9468,36,10.43,0.398,707,4,1,1,other,PA,0
203,53,44221,12,RENT,6157,36,6.94,0.159,700,3,1,0,credit_card,OH,1
204,63,84847,10,RENT,20042,36,8.54,0.141,710,13,0,1,home_improvement,MD,0
205,21,96877,1,OWN,43503,60,14.16,0.356,698,7,2,2,other,TN,1
206,40,39677,6,OTHER,10390,36,12.26,0.335,667,7,1,0,credit_card,TX,1
207,20,25958,1,RENT,8188,60,9.33,0.186,645,10,0,0,home_improvement,IL,0
208,26,65796,3,RENT,10488,60,7.34,0.111,727,4,0,0,small_business,TX,0
209,49,38090,23,MORTGAGE,4876,60,9.02,0.087,705,9,0,1,credit_card,IN,0
210,53,61159,14,RENT,19735,60,12.74,0.235,676,10,1,0,debt_consolidation,GA,1
211,69,84986,36,OWN,12444,60,6.21,0.16,762,8,0,0,credit_card,MI,0
212,41,67551,15,MORTGAGE,27883,36,9.5,0.251,699,11,0,0,car,MD,0
213,65,28901,13,MORTGAGE,9818,36,6.24,0.319,692,7,1,0,car,NC,0
214,41,25695,4,OWN,10370,36,11.5,0.288,744,4,0,0,small_business,PA,1
215,21,22303,0,MORTGAGE,2219,36,7.59,0.119,678,10,1,0,debt_consolidation,TN,1
216,23,72422,2,MORTGAGE,22857,36,9.68,0.319,757,7,1,0,debt_consolidation,PA,0
217,67,88722,38,OWN,20027,60,4.87,0.239,718,6,0,1,debt_consolidation,NC,0
218,42,28396,16,OWN,11911,36,12.72,0.416,727,3,2,1,credit_card,NJ,1
219,30,36829,2,RENT,10433,36,8.1,0.263,705,15,0,2,debt_consolidation,NY,0
220,21,29687,1,OWN,4503,60,5.75,0.124,712,0,0,2,small_business,MA,1
221,30,45047,4,OWN,3138,36,9.62,0.117,658,7,0,1,debt_consolidation,NJ,1
222,70,30956,34,MORTGAGE,2256,60,5.77,0.121,788,4,0,2,home_improvement,OH,0
223,26,30889,7,MORTGAGE,3195,36,5.33,0.091,664,9,0,1,other,TN,0
224,39,93360,17,MORTGAGE,11461,36,7.94,0.131,697,10,1,0,home_improvement,NC,0
225,35,78211,12,MORTGAGE,8109,36,4.8,0.101,626,3,0,0,other,AZ,0
226,59,48978,25,RENT,3362,60,4.26,0.074,680,9,0,1,other,WI,0
227,40,87533,10,MORTGAGE,6203,36,3.06,0.036,764,6,0,0,debt_consolidation,MO,0
228,52,35147,28,RENT,14883,36,12.26,0.389,707,11,1,2,small_business,CA,0
229,21,61322,1,MORTGAGE,22461,36,13.83,0.285,703,3,0,0,debt_consolidation,VA,0
230,43,29304,9,MORTGAGE,10116,36,5.63,0.274,775,6,0,0,debt_consolidation,TX,0
231,49,32306,20,MORTGAGE,6787,36,8.72,0.245,692,3,0,0,credit_card,OH,0
232,37,79662,5,RENT,8037,36,8.16,0.05,783,1,0,1,debt_consolidation,CA,0
233,56,25371,15,MORTGAGE,6322,60,5.54,0.148,710,10,1,1,debt_consolidation,IL,0
234,19,38278,0,MORTGAGE,14041,60,4.78,0.434,756,14,1,1,credit_card,WI,1
235,22,25707,0,OWN,8381,60,5.92,0.239,667,13,0,0,home_improvement,PA,0
236,55,24587,26,MORTGAGE,7762,36,11.69,0.363,717,9,2,0,debt_consolidation,GA,1
237,53,47478,25,MORTGAGE,7880,60,4.5,0.162,684,0,0,1,other,OH,1
238,23,48655,4,MORTGAGE,4615,36,9.43,0.094,716,2,0,1,home_improvement,IL,0
239,51,21252,27,MORTGAGE,7295,60,16.09,0.375,705,7,2,0,credit_card,WA,1
240,31,145343,3,MORTGAGE,27096,36,7.55,0.217,812,9,1,0,debt_consolidation,TN,0
241,46,103871,16,MORTGAGE,44953,36,13.78,0.331,677,8,0,0,car,WA,0
242,73,28951,37,MORTGAGE,6289,60,7.39,0.191,702,9,0,1,home_improvement,MI,1
243,28,57671,4,MORTGAGE,13311,60,4.96,0.154,686,11,0,1,debt_consolidation,GA,0
244,39,50371,14,RENT,19913,36,10.85,0.251,790,3,0,2,credit_card,MO,0
245,63,33281,37,MORTGAGE,1517,60,8.78,0.055,678,9,1,0,credit_card,OH,0
246,39,23545,5,OWN,8387,36,11.19,0.168,641,6,1,1,debt_consolidation,AZ,0
247,65,46595,14,RENT,8172,60,7.35,0.149,623,3,0,0,car,NJ,1
248,58,42106,16,MORTGAGE,16228,36,11.85,0.231,676,14,0,1,debt_consolidation,MI,0
249,48,86693,9,RENT,37675,60,12.17,0.21,730,13,0,2,credit_card,FL,1
250,33,50300,4,MORTGAGE,11436,60,6.93,0.15,692,6,0,0,credit_card,WI,0
251,63,27260,12,OWN,7406,36,9.58,0.238,669,11,0,0,debt_consolidation,FL,1
252,39,32310,16,MORTGAGE,11574,36,13.73,0.416,684,12,1,0,debt_consolidation,VA,1
253,71,45774,34,RENT,4229,36,5.27,0.142,652,6,1,1,debt_consolidation,GA,0
254,35,76908,9,RENT,17341,60,9.33,0.135,743,7,1,0,debt_consolidation,NY,0
255,23,25127,3,MORTGAGE,2541,36,7.34,0.104,693,11,0,0,small_business,NY,1
256,58,53040,35,RENT,23812,36,9.85,0.338,691,9,0,1,credit_card,IN,1
257,40,91901,17,MORTGAGE,38770,36,10.63,0.374,733,10,1,0,debt_consolidation,WA,0
258,22,21793,2,OWN,7797,60,9.6,0.3,648,10,0,0,debt_consolidation,GA,1
259,65,97683,29,RENT,42720,36,12.88,0.384,677,13,0,0,credit_card,NJ,1
260,40,34935,11,RENT,5646,60,5.91,0.18,707,9,1,2,debt_consolidation,TX,1
261,72,45354,17,MORTGAGE,7129,36,5.12,0.173,706,12,0,3,credit_card,MA,0
262,75,35358,40,MORTGAGE,12507,36,12.19,0.352,663,4,3,0,debt_consolidation,NJ,1
263,69,56707,20,MORTGAGE,15520,36,7.13,0.287,669,8,0,0,other,MD,0
264,55,60796,13,MORTGAGE,19958,60,8.13,0.322,676,13,0,0,debt_consolidation,MA,0
265,31,61847,7,MORTGAGE,15438,36,10.34,0.286,633,8,0,1,credit_card,PA,0
266,45,202751,23,OWN,48986,36,11.25,0.29,737,0,0,1,debt_consolidation,TN,0
267,66,12837,15,MORTGAGE,1000,36,9.72,0.092,651,13,1,0,credit_card,FL,1
268,34,36087,13,RENT,8217,36,10.21,0.198,725,9,1,1,debt_consolidation,MO,0
269,58,23631,20,MORTGAGE,4499,36,6.03,0.227,707,4,0,2,car,NY,0
270,19,42139,0,MORTGAGE,10714,60,5.37,0.213,636,10,1,2,other,VA,1
271,59,32557,15,MORTGAGE,9962,60,10.51,0.222,697,8,0,0,home_improvement,FL,1
272,70,41156,36,RENT,2008,36,3.66,0.079,649,14,0,0,debt_consolidation,WI,0
273,22,46490,3,MORTGAGE,9234,36,9.47,0.217,708,7,2,1,debt_consolidation,IN,1
274,71,34685,40,MORTGAGE,1000,60,6.7,0.043,647,11,0,0,credit_card,CA,0
275,23,76710,4,RENT,4829,36,7.0,0.116,668,8,0,1,credit_card,NJ,0
276,74,21946,40,RENT,7784,60,12.39,0.428,722,10,1,0,debt_consolidation,TX,0
277,45,35970,6,RENT,14744,36,8.3,0.311,715,14,0,1,credit_card,AZ,0
278,45,48083,5,RENT,10089,36,5.11,0.142,758,1,1,0,home_improvement,AZ,0
279,23,96877,1,MORTGAGE,10002,36,5.83,0.153,716,13,0,0,credit_card,PA,0
280,52,23636,14,RENT,5773,36,5.03,0.198,685,6,0,1,debt_consolidation,CA,0
281,30,24984,8,OWN,14341,60,17.59,0.407,620,9,0,0,credit_card,PA,1
282,34,62611,5,MORTGAGE,20374,36,10.47,0.335,734,16,0,1,other,AZ,0
283,23,49680,2,OWN,5259,36,6.24,0.155,732,9,0,0,car,TN,1
284,66,22631,14,OWN,5435,60,6.34,0.185,679,6,2,0,debt_consolidation,MO,1
285,24,87063,3,RENT,29799,36,9.68,0.365,670,11,0,2,debt_consolidation,WA,1
286,51,54662,23,OWN,17990,60,11.36,0.228,639,11,0,2,credit_card,MI,0
287,51,40314,14,RENT,13960,36,9.91,0.326,660,9,0,0,home_improvement,WI,1
288,35,40277,11,RENT,10269,36,7.62,0.327,687,10,1,0,debt_consolidation,IN,1
289,23,50478,3,OWN,8301,60,6.13,0.186,696,10,0,0,debt_consolidation,MD,0
290,35,39682,11,RENT,11163,60,10.56,0.241,697,3,1,0,debt_consolidation,MD,0
291,33,56820,10,RENT,8464,60,5.93,0.196,656,2,0,0,debt_consolidation,VA,0
292,38,56997,7,RENT,11293,36,7.39,0.292,675,4,1,0,credit_card,IL,1
293,46,27235,20,OWN,10474,36,13.36,0.2,679,6,2,0,credit_card,FL,0
294,56,21414,32,MORTGAGE,1686,36,4.92,0.055,596,3,0,0,credit_card,GA,0
295,70,109470,20,OWN,43052,60,9.36,0.308,690,2,0,0,home_improvement,MA,0
296,62,36492,10,OWN,13214,60,12.03,0.388,675,9,1,0,debt_consolidation,WA,1
297,66,117207,32,MORTGAGE,22733,36,6.64,0.116,753,14,1,2,credit_card,PA,0
298,24,52018,4,OWN,14309,60,7.26,0.251,697,13,0,2,home_improvement,VA,0
299,62,12153,9,MORTGAGE,1000,36,6.02,0.119,675,6,2,0,home_improvement,MD,0
300,71,55553,34,RENT,11783,36,7.79,0.143,765,9,0,1,credit_card,CA,0
